[2023-3-22 14:37:59] 	 ⚡: RP6-R9SiRJRUUyaAAAAB connected
[2023-3-22 16:8:44] 	 ⚡: jQ8E2CK9i4SvxpxGAAAF connected
[2023-3-22 16:8:44] 	 🔃: subhan rejoined a2f37e
[2023-3-22 16:8:44] 	 🟠: deus went offline
[2023-3-22 16:8:48] 	 🟢: deus went online
[2023-3-22 16:8:49] 	 🟠: subhan went offline
[2023-3-22 16:8:51] 	 🟢: subhan went online
[2023-3-22 16:8:52] 	 🟠: deus went offline
[2023-3-22 16:8:52] 	 💰: Paid salary to subhan
[2023-3-22 16:8:53] 	 💰: Paid salary to deus
[2023-3-22 16:8:55] 	 💰: Paid salary to deus
[2023-3-22 16:8:59] 	 🟠: subhan went offline
[2023-3-22 16:9:0] 	 🟢: deus went online
[2023-3-22 16:9:2] 	 🟠: deus went offline
[2023-3-22 16:9:36] 	 ⚡: klWC_7U8FlEqtewOAAAB connected
[2023-3-22 16:9:37] 	 ⚡: v0yccGtNZARrSzwVAAAD connected
[2023-3-22 16:9:52] 	 ⚡: OVzs2wlZjxgK6ucqAAAB connected
[2023-3-22 16:9:53] 	 ⚡: RQwNY7aUpUAtfuSEAAAD connected
[2023-3-22 16:9:58] 	 ⚡: Ylz0XuNdFrqRPgrIAAAB connected
[2023-3-22 16:9:59] 	 ⚡: iASrMNwQteSeLnyQAAAD connected
[2023-3-22 16:10:5] 	 ⚡: Z_qhhsLfK0-MKys3AAAC connected
[2023-3-22 16:10:5] 	 ⚡: 5liN3ty4BGN0B5cvAAAD connected
[2023-3-22 16:10:8] 	 ⚡: -WuqIPpXPZqhhF_8AAAB connected
[2023-3-22 16:10:9] 	 ⚡: sBfGOJ0e_ZcGQ_j7AAAD connected
[2023-3-22 16:10:16] 	 🟢: subhan went online
[2023-3-22 16:10:17] 	 🟢: deus went online
[2023-3-22 16:10:18] 	 🟠: subhan went offline
[2023-3-22 16:10:18] 	 🟢: subhan went online
[2023-3-22 16:10:19] 	 🟠: deus went offline
[2023-3-22 16:10:19] 	 💰: Paid salary to subhan
[2023-3-22 16:10:21] 	 🔥: -WuqIPpXPZqhhF_8AAAB disconnected
[2023-3-22 16:10:22] 	 🟢: deus went online
[2023-3-22 16:10:22] 	 🔥: sBfGOJ0e_ZcGQ_j7AAAD disconnected
[2023-3-22 16:10:24] 	 ⚡: zArdKdxRfE2h98Y0AAAF connected
[2023-3-22 16:10:24] 	 🔃: deus rejoined a2f37e
[2023-3-22 16:10:25] 	 ⚡: Qs5AR4IyocZJUklBAAAH connected
[2023-3-22 16:10:25] 	 🔃: subhan rejoined a2f37e
[2023-3-22 16:10:26] 	 🟠: deus went offline
[2023-3-22 16:10:26] 	 💰: Paid salary to deus
[2023-3-22 16:10:27] 	 💰: Paid salary to deus
[2023-3-22 16:10:27] 	 🟢: deus went online
[2023-3-22 16:10:28] 	 🟢: subhan went online
[2023-3-22 16:10:28] 	 🟠: subhan went offline
[2023-3-22 16:10:29] 	 🟠: deus went offline
[2023-3-22 16:10:31] 	 💰: Paid salary to subhan
[2023-3-22 16:10:33] 	 💰: Paid salary to deus
[2023-3-22 16:10:35] 	 🟢: deus went online
[2023-3-22 16:10:36] 	 🟠: subhan went offline
[2023-3-22 16:10:38] 	 🔔: deus sent trade request to  subhan
[2023-3-22 16:10:40] 	 🟢: subhan went online
[2023-3-22 16:10:40] 	 ✔️: Traded accepted 
[2023-3-22 16:10:41] 	 🟠: deus went offline
[2023-3-22 16:10:48] 	 🟠: subhan went offline
[2023-3-22 16:11:0] 	 ⚡: ZGO2bYpFc-lLzW6oAAAC connected
[2023-3-22 16:11:0] 	 ⚡: OPn0K8SNoSAyWJyjAAAD connected
[2023-3-22 16:11:1] 	 🟢: deus went online
[2023-3-22 16:11:7] 	 🟠: deus went offline
[2023-3-22 16:11:35] 	 🟢: deus went online
[2023-3-22 16:11:36] 	 🟢: subhan went online
[2023-3-22 16:11:37] 	 🟠: deus went offline
[2023-3-22 16:11:38] 	 🔥: OPn0K8SNoSAyWJyjAAAD disconnected
[2023-3-22 16:11:40] 	 ⚡: RP4RZ-zipcYQIXB4AAAF connected
[2023-3-22 16:11:40] 	 🔃: subhan rejoined a2f37e
[2023-3-22 16:11:41] 	 🟢: deus went online
[2023-3-22 16:11:42] 	 🔥: ZGO2bYpFc-lLzW6oAAAC disconnected
[2023-3-22 16:11:42] 	 🟠: subhan went offline
[2023-3-22 16:11:43] 	 ⚡: s2VwdNCbwDcKlTNMAAAH connected
[2023-3-22 16:11:43] 	 🔃: deus rejoined a2f37e
[2023-3-22 16:11:47] 	 🟢: subhan went online
[2023-3-22 16:11:47] 	 💰: Paid salary to subhan
[2023-3-22 16:11:48] 	 🟠: deus went offline
[2023-3-22 16:11:49] 	 🟢: deus went online
[2023-3-22 16:11:50] 	 🟠: subhan went offline
[2023-3-22 16:11:51] 	 🔔: deus sent trade request to  subhan
[2023-3-22 16:11:52] 	 🟢: subhan went online
[2023-3-22 16:11:53] 	 ✔️: Traded accepted 
[2023-3-22 16:11:54] 	 🟠: deus went offline
[2023-3-22 16:12:11] 	 🫱🏽‍🫲🏽: deus traded 300 with Bank
[2023-3-22 16:12:17] 	 🫱🏽‍🫲🏽: deus traded -400 with Bank
[2023-3-22 16:12:22] 	 🟠: subhan went offline
[2023-3-22 16:12:44] 	 ⚡: NanB3BD3lrUoRMH2AAAB connected
[2023-3-22 16:12:44] 	 ⚡: t66kQbFfDNFQVBPQAAAD connected
[2023-3-22 16:12:46] 	 🔥: t66kQbFfDNFQVBPQAAAD disconnected
[2023-3-22 16:12:46] 	 ⚡: 5l-iyiuEi5Fw5KzWAAAF connected
[2023-3-22 16:12:46] 	 🔃: deus rejoined a2f37e
[2023-3-22 16:12:47] 	 🔥: NanB3BD3lrUoRMH2AAAB disconnected
[2023-3-22 16:12:47] 	 ⚡: klsBbQ7Q87EShu2xAAAH connected
[2023-3-22 16:12:47] 	 🔃: subhan rejoined a2f37e
[2023-3-22 16:12:53] 	 🔥: 5l-iyiuEi5Fw5KzWAAAF disconnected
[2023-3-22 16:12:53] 	 ➖: deus left a2f37e
[2023-3-22 16:12:53] 	 ⚡: n6bf9fGUSSdQQoY6AAAJ connected
[2023-3-22 16:12:56] 	 🔥: klsBbQ7Q87EShu2xAAAH disconnected
[2023-3-22 16:12:56] 	 ➖: subhan left a2f37e
[2023-3-22 16:12:56] 	 ⚡: N84wBfCXR3v3nqLLAAAL connected
[2023-3-22 16:13:9] 	 🔥: N84wBfCXR3v3nqLLAAAL disconnected
[2023-3-22 16:13:9] 	 ⚡: HqfLikXaY3s-Kq_EAAAN connected
[2023-3-22 16:13:9] 	 ➕: subhan joined f9bcf0
[2023-3-22 16:13:12] 	 🔥: HqfLikXaY3s-Kq_EAAAN disconnected
[2023-3-22 16:13:12] 	 ➖: subhan left f9bcf0
[2023-3-22 16:13:13] 	 🔥: n6bf9fGUSSdQQoY6AAAJ disconnected
[2023-3-22 16:13:18] 	 ⚡: AfoukZVAX6t0zuIkAAAP connected
[2023-3-22 16:13:18] 	 ➕: subhan joined 750442
[2023-3-22 16:13:20] 	 🟠: subhan went offline
[2023-3-22 16:13:21] 	 🟢: subhan went online
[2023-3-22 16:13:23] 	 🟠: subhan went offline
[2023-3-22 16:13:25] 	 ⚡: IBHb-YKBlDDN_4qMAAAR connected
[2023-3-22 16:13:25] 	 ➕: deus joined 750442
[2023-3-22 16:13:29] 	 🟢: subhan went online
[2023-3-22 16:13:30] 	 🟠: deus went offline
[2023-3-22 16:13:33] 	 💰: Paid salary to subhan
[2023-3-22 16:13:33] 	 💰: Paid salary to subhan
[2023-3-22 16:13:34] 	 💰: Paid salary to deus
[2023-3-22 16:13:34] 	 💰: Paid salary to deus
[2023-3-22 16:13:39] 	 🟠: subhan went offline
[2023-3-22 16:13:56] 	 ⚡: x9_uG2Vb9_QNTANQAAAB connected
[2023-3-22 16:13:56] 	 ⚡: K2uti1drcUL6Zxe1AAAD connected
[2023-3-22 16:14:19] 	 ⚡: X45bHWcCmZtE-SQVAAAB connected
[2023-3-22 16:14:20] 	 ⚡: AfkloE7gYAx9f9RqAAAD connected
[2023-3-22 16:14:24] 	 🟢: deus went online
[2023-3-22 16:14:25] 	 🟢: subhan went online
[2023-3-22 16:14:25] 	 ➖: undefined left undefined
[2023-3-22 16:14:25] 	 🔥: X45bHWcCmZtE-SQVAAAB disconnected
[2023-3-22 16:14:26] 	 🟠: deus went offline
[2023-3-22 16:14:29] 	 🟢: deus went online
[2023-3-22 16:14:29] 	 ➖: undefined left undefined
[2023-3-22 16:14:29] 	 🔥: AfkloE7gYAx9f9RqAAAD disconnected
[2023-3-22 16:14:40] 	 ⚡: mlJyUa_m64zBBb0YAAAF connected
[2023-3-22 16:14:40] 	 ➕: Subhan joined 1217c0
[2023-3-22 16:14:45] 	 🟠: Subhan went offline
[2023-3-22 16:14:47] 	 🟢: Subhan went online
[2023-3-22 16:14:48] 	 🟠: Subhan went offline
[2023-3-22 16:14:53] 	 ⚡: DwtdoDOkMtsizevLAAAH connected
[2023-3-22 16:14:53] 	 ➕: Haque joined 1217c0
[2023-3-22 16:14:54] 	 🟢: Subhan went online
[2023-3-22 16:14:55] 	 🟠: Haque went offline
[2023-3-22 16:14:57] 	 🟢: Haque went online
[2023-3-22 16:14:58] 	 🟢: Subhan went online
[2023-3-22 16:14:58] 	 🟠: Subhan went offline
[2023-3-22 16:14:58] 	 💰: Paid salary to Haque
[2023-3-22 16:14:58] 	 💰: Paid salary to Haque
[2023-3-22 16:14:59] 	 🟠: Haque went offline
[2023-3-22 16:15:0] 	 🟢: Haque went online
[2023-3-22 16:15:1] 	 🟠: Subhan went offline
[2023-3-22 16:15:2] 	 🔔: Haque sent trade request to  Subhan
[2023-3-22 16:15:4] 	 🟢: Subhan went online
[2023-3-22 16:15:4] 	 ✔️: Traded accepted 
[2023-3-22 16:15:5] 	 🟠: Haque went offline
[2023-3-22 16:15:14] 	 🟢: Haque went online
[2023-3-22 16:15:15] 	 🟠: Subhan went offline
[2023-3-22 16:15:15] 	 🟠: Haque went offline
[2023-3-22 16:15:17] 	 🟢: Haque went online
[2023-3-22 16:15:18] 	 🟠: Haque went offline
[2023-3-22 16:15:24] 	 ⚡: tkPCDNju6mYT5JwyAAAJ connected
[2023-3-22 16:15:24] 	 ➕: Deus joined 1217c0
[2023-3-22 16:15:31] 	 🟢: Subhan went online
[2023-3-22 16:15:32] 	 🟠: Deus went offline
[2023-3-22 16:15:34] 	 💰: Paid salary to Haque
[2023-3-22 16:15:37] 	 💰: Paid salary to Haque
[2023-3-22 16:15:40] 	 🟠: Subhan went offline
[2023-3-22 16:16:13] 	 🟢: Haque went online
[2023-3-22 16:16:15] 	 🟠: Haque went offline
[2023-3-22 16:16:16] 	 🟢: Haque went online
[2023-3-22 16:16:19] 	 🟢: Subhan went online
[2023-3-22 16:16:20] 	 🟠: Haque went offline
[2023-3-22 16:16:20] 	 🟢: Subhan went online
[2023-3-22 16:16:21] 	 🟠: Subhan went offline
[2023-3-22 16:16:21] 	 💰: Paid salary to Subhan
[2023-3-22 16:16:24] 	 💰: Paid salary to Deus
[2023-3-22 16:16:26] 	 💰: Paid salary to Haque
[2023-3-22 16:16:27] 	 💰: Paid salary to Haque
[2023-3-22 16:16:28] 	 💰: Paid salary to Haque
[2023-3-22 16:16:28] 	 💰: Paid salary to Haque
[2023-3-22 16:16:29] 	 💰: Paid salary to Haque
[2023-3-22 16:16:30] 	 🟠: Subhan went offline
[2023-3-22 16:16:37] 	 🟢: Subhan went online
[2023-3-22 16:16:38] 	 💰: Paid salary to Haque
[2023-3-22 16:16:39] 	 💰: Paid salary to Haque
[2023-3-22 16:16:40] 	 💰: Paid salary to Haque
[2023-3-22 16:16:43] 	 🫱🏽‍🫲🏽: Subhan traded 300 with Bank
[2023-3-22 16:16:48] 	 🟠: Subhan went offline
[2023-3-22 16:17:11] 	 ⚡: PjeIa0S2V_gGODoaAAAB connected
[2023-3-22 16:17:12] 	 ⚡: EqKmWVKU4peM8tQJAAAD connected
[2023-3-22 16:17:12] 	 🟢: Subhan went online
[2023-3-22 16:17:12] 	 ⚡: 9Z5xxjnpexxr-RutAAAF connected
[2023-3-22 16:17:13] 	 🟢: Haque went online
[2023-3-22 16:17:14] 	 🟢: Subhan went online
[2023-3-22 16:17:14] 	 🟠: Subhan went offline
[2023-3-22 16:17:15] 	 🟢: Deus went online
[2023-3-22 16:17:15] 	 🟠: Haque went offline
[2023-3-22 16:17:16] 	 🟠: Subhan went offline
[2023-3-22 16:17:18] 	 🟠: Deus went offline
[2023-3-22 16:17:42] 	 ⚡: S36ToanQgSMfNZ29AAAB connected
[2023-3-22 16:17:42] 	 ⚡: F0VwtxoX7RbmgCLKAAAD connected
[2023-3-22 16:17:42] 	 ⚡: Mv3mZMPG2BgGJh69AAAF connected
[2023-3-22 16:18:36] 	 ⚡: mOgE-N56o0FmI68AAAAB connected
[2023-3-22 16:18:36] 	 ⚡: LHyjC6_VvRjV3lwfAAAD connected
[2023-3-22 16:18:36] 	 ⚡: DWAz--NUOYRgPEbkAAAF connected
[2023-3-22 16:18:41] 	 ⚡: D2aZ_JTlKhzRFF6-AAAB connected
[2023-3-22 16:18:41] 	 ⚡: 3hh4KXYoTJLMk_L6AAAD connected
[2023-3-22 16:18:42] 	 ⚡: YXSE1FuI2VUWDKYVAAAF connected
[2023-3-22 16:18:54] 	 🟢: Subhan went online
[2023-3-22 16:18:57] 	 🟠: Subhan went offline
[2023-3-22 16:19:1] 	 🟢: Subhan went online
[2023-3-22 16:19:3] 	 💰: Paid salary to Haque
[2023-3-22 16:19:7] 	 🟠: Subhan went offline
[2023-3-22 16:19:8] 	 ⚡: 1qsN96eqfvnjBIkFAAAB connected
[2023-3-22 16:19:8] 	 ⚡: 4DunraJDufbQYPOZAAAD connected
[2023-3-22 16:19:9] 	 ⚡: D-TuPjLvWfptgSJ2AAAF connected
[2023-3-22 16:19:26] 	 ⚡: u6D8-W0pFa2CbFoeAAAB connected
[2023-3-22 16:19:26] 	 ⚡: uJYqEXzdSGEifuM-AAAD connected
[2023-3-22 16:19:27] 	 ⚡: w38lHV5WybEOR4TrAAAF connected
[2023-3-22 16:19:49] 	 ⚡: tHhXK8xG4EHaEUUmAAAB connected
[2023-3-22 16:19:49] 	 ⚡: HUjI1R7ACrs252FLAAAD connected
[2023-3-22 16:19:49] 	 ⚡: inUN9LuOICF8m6ylAAAF connected
[2023-3-22 16:19:56] 	 ⚡: _n_4Z81tDHxBJE_MAAAB connected
[2023-3-22 16:19:57] 	 ⚡: O5Eqxs3lOlYQNIVzAAAD connected
[2023-3-22 16:19:57] 	 ⚡: U4VDtxik-p89Pm5WAAAF connected
[2023-3-22 16:20:51] 	 ⚡: pbJgtQspGo2UORFIAAAB connected
[2023-3-22 16:20:51] 	 ⚡: GjYAxHKNGcOI02nYAAAD connected
[2023-3-22 16:20:52] 	 ⚡: PF2ugBhr1hYH-ME_AAAF connected
[2023-3-22 16:20:54] 	 ⚡: 7wHvN56pbhx0_EwzAAAB connected
[2023-3-22 16:20:54] 	 ⚡: llamtQCc8yT1VJRzAAAD connected
[2023-3-22 16:20:54] 	 ⚡: nW9nuPB2XuiE13QDAAAF connected
[2023-3-22 16:21:0] 	 🟢: Haque went online
[2023-3-22 16:21:0] 	 🔥: 7wHvN56pbhx0_EwzAAAB disconnected
[2023-3-22 16:21:3] 	 🟢: Subhan went online
[2023-3-22 16:21:4] 	 🟢: Subhan went online
[2023-3-22 16:21:4] 	 🔥: llamtQCc8yT1VJRzAAAD disconnected
[2023-3-22 16:21:6] 	 🟢: Deus went online
[2023-3-22 16:21:6] 	 🔥: nW9nuPB2XuiE13QDAAAF disconnected
[2023-3-22 16:21:7] 	 ⚡: wLle5DkKH62J6e5XAAAH connected
[2023-3-22 16:21:7] 	 🔃: Haque rejoined 1217c0
[2023-3-22 16:21:8] 	 ⚡: notFRYRxBPfT3CwaAAAJ connected
[2023-3-22 16:21:8] 	 🔃: Deus rejoined 1217c0
[2023-3-22 16:21:9] 	 🟠: Haque went offline
[2023-3-22 16:21:10] 	 ⚡: _UfZGlhuVJycgOrxAAAL connected
[2023-3-22 16:21:11] 	 🟠: Deus went offline
[2023-3-22 16:21:13] 	 🟢: Deus went online
[2023-3-22 16:21:16] 	 🟢: Haque went online
[2023-3-22 16:21:16] 	 🔥: wLle5DkKH62J6e5XAAAH disconnected
[2023-3-22 16:21:16] 	 ➖: Haque left 1217c0
[2023-3-22 16:21:17] 	 🟠: Deus went offline
[2023-3-22 16:21:18] 	 ⚡: J1DZimfG7V7Z9mWGAAAN connected
[2023-3-22 16:21:18] 	 🔃: Haque rejoined 1217c0
[2023-3-22 16:21:19] 	 🟢: Deus went online
[2023-3-22 16:21:20] 	 🔥: notFRYRxBPfT3CwaAAAJ disconnected
[2023-3-22 16:21:20] 	 ➖: Deus left 1217c0
[2023-3-22 16:21:20] 	 🟠: Haque went offline
[2023-3-22 16:21:21] 	 🟢: Haque went online
[2023-3-22 16:21:21] 	 ➖: Haque left 1217c0
[2023-3-22 16:21:21] 	 🔥: J1DZimfG7V7Z9mWGAAAN disconnected
[2023-3-22 16:21:22] 	 🔥: _UfZGlhuVJycgOrxAAAL disconnected
[2023-3-22 16:22:38] 	 ⚡: HwPGrG6DjMiUEIsGAAAP connected
[2023-3-22 16:22:38] 	 🔃: Haque rejoined 1217c0
[2023-3-22 16:22:40] 	 🟠: Haque went offline
[2023-3-22 16:22:44] 	 🟢: Haque went online
[2023-3-22 16:22:45] 	 ➖: undefined left undefined
[2023-3-22 16:22:45] 	 🔥: HwPGrG6DjMiUEIsGAAAP disconnected
[2023-3-22 16:23:3] 	 ⚡: SxOlyE5wP9A5ptsJAAAR connected
[2023-3-22 16:23:3] 	 ➕: Subhan joined f5cf55
[2023-3-22 16:23:9] 	 🟠: Subhan went offline
[2023-3-22 16:23:10] 	 🟢: Subhan went online
[2023-3-22 16:23:12] 	 🟠: Subhan went offline
[2023-3-22 16:23:21] 	 ⚡: o2Mvgj9n-48ymKAYAAAT connected
[2023-3-22 16:23:21] 	 ➕: Haque joined f5cf55
[2023-3-22 16:23:22] 	 🟠: Haque went offline
[2023-3-22 16:23:23] 	 ⚡: O5CAbCB-leJDCkFeAAAV connected
[2023-3-22 16:23:24] 	 ➕: Deus joined f5cf55
[2023-3-22 16:23:25] 	 🟢: Subhan went online
[2023-3-22 16:23:26] 	 🟠: Deus went offline
[2023-3-22 16:23:26] 	 🟢: Deus went online
[2023-3-22 16:23:27] 	 🟠: Subhan went offline
[2023-3-22 16:23:29] 	 🟠: Deus went offline
[2023-3-22 16:23:30] 	 🟢: Haque went online
[2023-3-22 16:23:32] 	 🟢: Deus went online
[2023-3-22 16:23:33] 	 🟠: Haque went offline
[2023-3-22 16:23:35] 	 🟢: Subhan went online
[2023-3-22 16:23:36] 	 🟠: Deus went offline
[2023-3-22 16:23:37] 	 🟠: Subhan went offline
[2023-3-22 16:23:38] 	 🟢: Subhan went online
[2023-3-22 16:23:39] 	 💰: Paid salary to Subhan
[2023-3-22 16:23:46] 	 💰: Paid salary to Haque
[2023-3-22 16:23:48] 	 🟢: Haque went online
[2023-3-22 16:23:49] 	 🟠: Subhan went offline
[2023-3-22 16:23:50] 	 🟢: Subhan went online
[2023-3-22 16:23:51] 	 🟠: Haque went offline
[2023-3-22 16:23:53] 	 🔔: Subhan sent trade request to  Deus
[2023-3-22 16:23:54] 	 🟢: Deus went online
[2023-3-22 16:23:55] 	 ✔️: Traded accepted 
[2023-3-22 16:23:55] 	 🟠: Subhan went offline
[2023-3-22 16:24:3] 	 🔔: Deus sent trade request to  Subhan
[2023-3-22 16:24:4] 	 🟢: Subhan went online
[2023-3-22 16:24:4] 	 ✔️: Traded accepted 
[2023-3-22 16:24:5] 	 🟠: Deus went offline
[2023-3-22 16:24:13] 	 🫱🏽‍🫲🏽: Haque traded 10 with Bank
[2023-3-22 16:24:20] 	 💰: Paid salary to Deus
[2023-3-22 16:24:22] 	 💰: Paid salary to Haque
[2023-3-22 16:24:23] 	 💰: Paid salary to Subhan
[2023-3-22 16:24:32] 	 🔔: Subhan sent trade request to  Deus
[2023-3-22 16:24:42] 	 🟢: Haque went online
[2023-3-22 16:24:43] 	 🟠: Subhan went offline
[2023-3-22 16:24:45] 	 🔔: Haque sent trade request to  Deus
[2023-3-22 16:24:47] 	 🟢: Deus went online
[2023-3-22 16:24:47] 	 ✔️: Traded accepted 
[2023-3-22 16:24:48] 	 🟠: Haque went offline
[2023-3-22 16:24:58] 	 🟢: Subhan went online
[2023-3-22 16:24:59] 	 🟠: Deus went offline
[2023-3-22 16:25:7] 	 🟠: Subhan went offline
[2023-3-22 16:25:7] 	 🟢: Deus went online
[2023-3-22 16:25:9] 	 🟠: Deus went offline
[2023-3-22 16:25:19] 	 🟢: Deus went online
[2023-3-22 16:25:22] 	 🟠: Deus went offline
[2023-3-22 16:25:23] 	 🟢: Deus went online
[2023-3-22 16:25:23] 	 🟢: Subhan went online
[2023-3-22 16:25:24] 	 🟠: Deus went offline
[2023-3-22 16:25:27] 	 🟢: Haque went online
[2023-3-22 16:25:28] 	 🟢: Deus went online
[2023-3-22 16:25:28] 	 🟠: Subhan went offline
[2023-3-22 16:25:29] 	 🟢: Subhan went online
[2023-3-22 16:25:29] 	 🟠: Haque went offline
[2023-3-22 16:25:30] 	 🟠: Deus went offline
[2023-3-22 16:25:37] 	 🟢: Deus went online
[2023-3-22 16:25:37] 	 ➖: undefined left undefined
[2023-3-22 16:25:37] 	 🔥: O5CAbCB-leJDCkFeAAAV disconnected
[2023-3-22 16:25:38] 	 🟠: Subhan went offline
[2023-3-22 16:25:39] 	 🟢: Subhan went online
[2023-3-22 16:25:43] 	 🟠: Subhan went offline
[2023-3-22 16:25:57] 	 🟢: Subhan went online
[2023-3-22 16:25:59] 	 🟢: Haque went online
[2023-3-22 16:25:59] 	 🔥: o2Mvgj9n-48ymKAYAAAT disconnected
[2023-3-22 16:25:59] 	 ➖: Haque left f5cf55
[2023-3-22 16:26:0] 	 🟠: Subhan went offline
[2023-3-22 16:26:15] 	 🟢: Subhan went online
[2023-3-22 16:26:19] 	 🟠: Subhan went offline
[2023-3-22 16:26:20] 	 🟢: Subhan went online
[2023-3-22 16:26:22] 	 🟠: Subhan went offline
[2023-3-22 16:26:28] 	 ⚡: MOI1Bg4H2uNBPyBhAAAX connected
[2023-3-22 16:26:28] 	 ➕: Deus joined f5cf55
[2023-3-22 16:26:30] 	 🟠: Deus went offline
[2023-3-22 16:26:33] 	 ⚡: igWDfBXEyCK8TYGyAAAZ connected
[2023-3-22 16:26:33] 	 🟢: Subhan went online
[2023-3-22 16:26:36] 	 🟠: Subhan went offline
[2023-3-22 16:26:40] 	 🔥: igWDfBXEyCK8TYGyAAAZ disconnected
[2023-3-22 16:26:40] 	 ⚡: kK1mz7d_Qllg0nltAAAb connected
[2023-3-22 16:26:40] 	 ➕: Subhan2 joined f5cf55
[2023-3-22 16:26:41] 	 🟢: Subhan went online
[2023-3-22 16:26:42] 	 🟠: Subhan2 went offline
[2023-3-22 16:26:55] 	 🟠: Subhan went offline
[2023-3-22 16:27:2] 	 🟢: Subhan went online
[2023-3-22 16:27:4] 	 🟢: Deus went online
[2023-3-22 16:27:4] 	 🔥: MOI1Bg4H2uNBPyBhAAAX disconnected
[2023-3-22 16:27:4] 	 ➖: Deus left f5cf55
[2023-3-22 16:27:5] 	 🟠: Subhan went offline
[2023-3-22 16:27:12] 	 ⚡: YgCYFyzzXHNyvQpUAAAd connected
[2023-3-22 16:27:12] 	 🔃: Subhan2 rejoined f5cf55
[2023-3-22 16:27:17] 	 🟢: Subhan went online
[2023-3-22 16:27:17] 	 🟠: Subhan2 went offline
[2023-3-22 16:27:19] 	 🟢: Subhan2 went online
[2023-3-22 16:27:19] 	 🟠: Subhan went offline
[2023-3-22 16:27:21] 	 🟠: Subhan2 went offline
[2023-3-22 16:28:31] 	 🟢: Subhan went online
[2023-3-22 16:28:33] 	 🟠: Subhan went offline
[2023-3-22 16:28:53] 	 🟢: Subhan went online
[2023-3-22 16:28:55] 	 🟠: Subhan went offline
[2023-3-22 16:29:39] 	 🟢: Subhan went online
[2023-3-22 16:29:40] 	 🔥: SxOlyE5wP9A5ptsJAAAR disconnected
[2023-3-22 16:29:40] 	 ➖: Subhan left f5cf55
[2023-3-22 16:29:40] 	 🟢: Subhan2 went online
[2023-3-22 16:29:41] 	 🔥: YgCYFyzzXHNyvQpUAAAd disconnected
[2023-3-22 16:29:41] 	 ➖: Subhan2 left f5cf55
[2023-3-22 16:29:42] 	 🔥: kK1mz7d_Qllg0nltAAAb disconnected
[2023-3-22 16:29:45] 	 ⚡: LMy3wEL0jRYQH7kGAAAf connected
[2023-3-22 16:29:45] 	 🔃: Subhan rejoined f5cf55
[2023-3-22 16:29:47] 	 ⚡: 30n0ug29ahSWxXE4AAAh connected
[2023-3-22 16:29:47] 	 🔃: Subhan2 rejoined f5cf55
[2023-3-22 16:29:48] 	 🟠: Subhan went offline
[2023-3-22 16:29:49] 	 ⚡: PvbRnPhaF3kHr_TFAAAj connected
[2023-3-22 16:29:50] 	 🟠: Subhan2 went offline
[2023-3-22 16:29:53] 	 🟢: Subhan went online
[2023-3-22 16:29:55] 	 🟠: Subhan went offline
[2023-3-22 16:29:58] 	 🔥: PvbRnPhaF3kHr_TFAAAj disconnected
[2023-3-22 16:29:58] 	 ⚡: YXOIVqcrk1Afu_5xAAAl connected
[2023-3-22 16:30:0] 	 🔥: YXOIVqcrk1Afu_5xAAAl disconnected
[2023-3-22 16:30:0] 	 ⚡: RVkfyOLyqqdunsbtAAAn connected
[2023-3-22 16:30:0] 	 ➕: Deus2 joined f5cf55
[2023-3-22 16:30:2] 	 🟢: Subhan went online
[2023-3-22 16:30:3] 	 🟠: Deus2 went offline
[2023-3-22 16:30:7] 	 🟢: Deus2 went online
[2023-3-22 16:30:8] 	 🟠: Subhan went offline
[2023-3-22 16:30:8] 	 🟢: Subhan2 went online
[2023-3-22 16:30:9] 	 🟠: Deus2 went offline
[2023-3-22 16:30:10] 	 🟢: Deus2 went online
[2023-3-22 16:30:11] 	 🟠: Subhan2 went offline
[2023-3-22 16:30:13] 	 ➖: undefined left undefined
[2023-3-22 16:30:13] 	 🔥: RVkfyOLyqqdunsbtAAAn disconnected
[2023-3-22 16:30:19] 	 ⚡: WnCJ2bRI1IfGwYGXAAAp connected
[2023-3-22 16:30:22] 	 🔥: WnCJ2bRI1IfGwYGXAAAp disconnected
[2023-3-22 16:30:22] 	 ⚡: cZrMkWC6wfnSSfl1AAAr connected
[2023-3-22 16:30:23] 	 ➕: Deus3 joined f5cf55
[2023-3-22 16:30:26] 	 🟢: Subhan went online
[2023-3-22 16:30:27] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:27] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:27] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:28] 	 🟠: Deus3 went offline
[2023-3-22 16:30:28] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:28] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:29] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:30] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:31] 	 💰: Paid salary to Subhan
[2023-3-22 16:30:45] 	 💰: Paid salary to Deus3
[2023-3-22 16:30:45] 	 💰: Paid salary to Deus3
[2023-3-22 16:30:47] 	 🟠: Subhan went offline
[2023-3-22 16:31:8] 	 🟢: Subhan went online
[2023-3-22 16:31:14] 	 ⚡: PLza-ro_4EHnUCFjAAAB connected
[2023-3-22 16:31:14] 	 ⚡: vAqc1qO-r24hzBNvAAAD connected
